metric_group,scenario,meal_rest_prems_credit,other_credit,metric_label,source,expr,extrap_expr,digits,denom,no_year_breakdown
Summary - Pay Data,all,FALSE,FALSE,Employees with rest premiums,pay1,"uniqueN(Pay_ID[pp_Rest_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID[pp_Rest_Pay_Code > 0], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with rest premiums,pay1,"uniqueN(Pay_ID_Period_End[pp_Rest_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[pp_Rest_Pay_Code > 0], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Rest premium hrs,pay1,"sum(pp_Rest_Prem_Hrs[Pay_pp==1], na.rm=TRUE)","sum(pp_Rest_Prem_Hrs[Pay_pp==1], na.rm=TRUE) / uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0], na.rm=TRUE) * extrap_class_pps",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Rest premium $,pay1,"sum(pp_Rest_Amt[Pay_pp==1], na.rm=TRUE)","sum(pp_Rest_Amt[Pay_pp==1], na.rm=TRUE) / sum(pp_Rest_Prem_Hrs[Pay_pp==1], na.rm=TRUE) * (sum(pp_Rest_Prem_Hrs[Pay_pp==1], na.rm=TRUE) / uniqueN(Pay_ID_Period_End[Hrs_Wkd_Pay_Code > 0]) * extrap_class_pps)",2,,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with sick pay,pay1,"uniqueN(Pay_ID[pp_Sick_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID[pp_Sick_Pay_Code > 0], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with sick pay,pay1,"uniqueN(Pay_ID_Period_End[pp_Sick_Pay_Code > 0], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[pp_Sick_Pay_Code > 0], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with bonuses,pay1,"uniqueN(Pay_ID[Bon_Pay_Code==1], na.rm=TRUE)","uniqueN(Pay_ID[Bon_Pay_Code==1], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with bonuses,pay1,"uniqueN(Pay_ID_Period_End[Bon_Pay_Code==1], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[Bon_Pay_Code==1], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Employees with shift differentials,pay1,"uniqueN(Pay_ID[Diff_Pay_Code==1], na.rm=TRUE)","uniqueN(Pay_ID[Diff_Pay_Code==1], na.rm=TRUE) / employees_pay * extrap_class_ees",0,employees_pay,FALSE
Summary - Pay Data,all,FALSE,FALSE,Pay periods with shift differentials,pay1,"uniqueN(Pay_ID_Period_End[Diff_Pay_Code==1], na.rm=TRUE)","uniqueN(Pay_ID_Period_End[Diff_Pay_Code==1], na.rm=TRUE) / pay_periods_pay * extrap_class_pps",0,pay_periods_pay,FALSE
Meal Period Analysis,all,FALSE,FALSE,Total meal periods with or without time punches,shift_data1,"tryCatch(sum(!is.na(auto_mp_hrs)), error = function(e) 0) + sum(shift_mps, na.rm=TRUE)","tryCatch(sum(!is.na(auto_mp_hrs)), error = function(e) 0) + sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts",0,,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods with time punches,shift_data1,"sum(shift_mps, na.rm=TRUE)","sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts",0,,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods <30 mins,shift_data1,"sum(mp_lt_thirty, na.rm=TRUE)","sum(mp_lt_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods =30 mins,shift_data1,"sum(mp_thirty, na.rm=TRUE)","sum(mp_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods >30 mins,shift_data1,"sum(mp_gt_thirty, na.rm=TRUE)","sum(mp_gt_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods =45 mins,shift_data1,"sum(mp_forty_five, na.rm=TRUE)","sum(mp_forty_five, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods >2 hrs,shift_data1,"sum(mp_gt_two_hrs, na.rm=TRUE)","sum(mp_gt_two_hrs, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches,all,FALSE,FALSE,Meal periods >4 hrs,shift_data1,"sum(mp_gt_four_hrs, na.rm=TRUE)","sum(mp_gt_four_hrs, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods <30 mins (rounded punches),shift_data1,"sum(r_mp_lt_thirty, na.rm=TRUE)","sum(r_mp_lt_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods =30 mins (rounded punches),shift_data1,"sum(r_mp_thirty, na.rm=TRUE)","sum(r_mp_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods >30 mins (rounded punches),shift_data1,"sum(r_mp_gt_thirty, na.rm=TRUE)","sum(r_mp_gt_thirty, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods =45 mins (rounded punches),shift_data1,"sum(r_mp_forty_five, na.rm=TRUE)","sum(r_mp_forty_five, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods >2 hrs (rounded punches),shift_data1,"sum(r_mp_gt_two_hrs, na.rm=TRUE)","sum(r_mp_gt_two_hrs, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods with Time Punches (rounded punches),all,FALSE,FALSE,Meal periods >4 hrs (rounded punches),shift_data1,"sum(r_mp_gt_four_hrs, na.rm=TRUE)","sum(r_mp_gt_four_hrs, na.rm=TRUE) / meal_periods * (sum(shift_mps, na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches,shift_data1,"sum(!is.na(auto_mp), na.rm=TRUE)","sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts",0,,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches <30 mins,shift_data1,"sum(auto_mp_lt_thirty, na.rm=TRUE)","sum(auto_mp_lt_thirty, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches =30 mins,shift_data1,"sum(auto_mp_thirty, na.rm=TRUE)","sum(auto_mp_thirty, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches >30 mins,shift_data1,"sum(auto_mp_gt_thirty, na.rm=TRUE)","sum(auto_mp_gt_thirty, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches =45 mins,shift_data1,"sum(auto_mp_forty_five, na.rm=TRUE)","sum(auto_mp_forty_five, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches >2 hrs,shift_data1,"sum(auto_mp_gt_two_hrs, na.rm=TRUE)","sum(auto_mp_gt_two_hrs, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Analysis - Meal Periods w/o Time Punches,all,FALSE,FALSE,Meal periods without time punches >4 hrs,shift_data1,"sum(auto_mp_gt_four_hrs, na.rm=TRUE)","sum(auto_mp_gt_four_hrs, na.rm=TRUE) / auto_meal_periods * (sum(!is.na(auto_mp), na.rm=TRUE) / uniqueN(ID_Shift, na.rm=TRUE) * extrap_class_shifts)",0,auto_meal_periods,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Shifts >5 hrs with missing first meal period,shift_data1,"sum(MissMP1, na.rm=TRUE)","sum(MissMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Shifts >5 hrs with late first meal period,shift_data1,"sum(LateMP1, na.rm=TRUE)","sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Shifts >5 hrs with short first meal period,shift_data1,"sum(ShortMP1, na.rm=TRUE)","sum(ShortMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Shifts >10 hrs with missing second meal period,shift_data1,"sum(MissMP2, na.rm=TRUE)","sum(MissMP2, na.rm=TRUE) / shifts_gt_10 * (sum(shift_hrs > 10, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_10,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Shifts >5 hrs with short late or missing first or second meal period,shift_data1,"sum(mpv_shift, na.rm=TRUE)","sum(mpv_shift, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,"Shifts >5 hrs with short late or missing first or second meal period, less meal premiums",shift_data1,"sum(mpv_shift_less_prems, na.rm=TRUE)","sum(mpv_shift_less_prems, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Pay periods with at least one shift >5 hrs with a short late or missing first or second meal period,shift_data1,"uniqueN(ID_Period_End[mpv_per_pp > 0], na.rm=TRUE)","uniqueN(ID_Period_End[mpv_per_pp > 0], na.rm=TRUE) / pay_periods * (extrap_class_pps)",0,pay_periods,FALSE
Meal Period Violations,no waivers,TRUE,FALSE,"Pay periods with at least one shift >5 hrs with a short late or missing first or second meal period, less meal premiums",shift_data1,"uniqueN(ID_Period_End[mpv_per_pp_less_prems > 0], na.rm=TRUE)","uniqueN(ID_Period_End[mpv_per_pp_less_prems > 0], na.rm=TRUE) / pay_periods * (extrap_class_pps)",0,pay_periods,FALSE
Meal Period Violations,no waivers,FALSE,FALSE,Employees with at least one shift >5 hrs with a short late or missing first or second meal period,shift_data1,"uniqueN(ID[mpv_shift==1], na.rm=TRUE)","uniqueN(ID[mpv_shift==1], na.rm=TRUE) / employees * (extrap_class_ees)",0,employees,FALSE
Meal Period Violations,no waivers,TRUE,FALSE,"Employees with at least one shift >5 hrs with a short late or missing first or second meal period, less meal premiums",shift_data1,"uniqueN(ID[mpv_per_pp_less_prems > 0], na.rm=TRUE)","uniqueN(ID[mpv_per_pp_less_prems > 0], na.rm=TRUE) / employees * (extrap_class_ees)",0,employees,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Late first meal periods (shifts >5 hrs),shift_data1,"sum(LateMP1==1 , na.rm=TRUE)","sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts)",0,shifts_gt_5,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 1-2 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late >= 1 & mp1_mins_late < 2, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late >= 1 & mp1_mins_late < 2, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 2-3 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=2 & mp1_mins_late<3, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=2 & mp1_mins_late<3, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 3-4 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=3 & mp1_mins_late<4, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=3 & mp1_mins_late<4, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 4-5 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=4 & mp1_mins_late<5, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=4 & mp1_mins_late<5, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 5-6 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=5 & mp1_mins_late<6, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=5 & mp1_mins_late<6, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 6-7 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=6 & mp1_mins_late<7, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=6 & mp1_mins_late<7, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 7-8 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=7 & mp1_mins_late<8, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=7 & mp1_mins_late<8, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 8-9 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=8 & mp1_mins_late<9, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=8 & mp1_mins_late<9, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
Meal Period Violations - Late Detail,no waivers,FALSE,FALSE,Meal periods 9-10 mins late,shift_data1,"sum(LateMP1==1 & mp1_mins_late>=9 & mp1_mins_late<10, na.rm=TRUE)","sum(LateMP1==1 & mp1_mins_late>=9 & mp1_mins_late<10, na.rm=TRUE) / shifts_gt_5_late_meals * (sum(LateMP1, na.rm=TRUE) / shifts_gt_5 * (sum(shift_hrs > 5, na.rm=TRUE) / shifts_all * extrap_class_shifts))",0,shifts_gt_5_late_meals,FALSE
